Question_id,Question_text,Test_name(ETS23-Test1),Answer_id,Answer_text,isTrue
147,What is indicated about Harbis Stationery Store?,,,A. It provides materials for students.,
,,,,B. It has stores in multiple locations.,
,,,,C. It is celebrating an anniversary.,
,,,,D. It provides free shipping for online orders.,
148,What item is discounted by the greatest percentage?,,,A. Box of ten cards.,
,,,,B. Box of five invitations.,
,,,,C. Wireless mouse.,
,,,,D. Desk lamp.,
149,What is the purpose of the e-mail?,,,A. To inquire about leasing a vehicle.,
,,,,B. To inform a customer of required car maintenance.,
,,,,C. To announce the release of a new car.,
,,,,D. To register a used car for an extended warranty.,
150,What is indicated about Chen Construction?,,,A. It performs the servicing of its company vehicles.,
,,,,B. It has a new project beginning March 1.,
,,,,C. It provides leased cars to some employees.,
,,,,D. It will soon begin a construction project for Toshi Auto Group.,
151,What is the main purpose of the article?,,,A. To promote a new line of cookware.,
,,,,B. To advertise an orchestra concert.,
,,,,C. To announce a new series of books.,
,,,,D. To provide a calendar of local events.,
152,What is planned for December?,,,A. An awards ceremony.,
,,,,B. The publication of a life story.,
,,,,C. The release of a new album.,
,,,,D. The launch of a celebrity’s restaurant.,
153,What does Frederick Bissett emphasize about Tillford Exalt?,,,A. Its record-breaking sales.,
,,,,B. Its roots in Manchester.,
,,,,C. Its focus on fiction and poetry.,
,,,,D. Its broad range of authors.,
154,What problem does Mr. Skagen mention?,,,A. Some new employees are absent.,
,,,,B. Some boxes are incorrectly labeled.,
,,,,C. A package delivery is delayed.,
,,,,D. An access door is malfunctioning.,
155,"At 9:02 A.M., what does Mr. Skagen most likely mean when he writes, “Yes, that works”?",,,A. An electrician has arrived at a work site.,
,,,,B. Some equipment is operating smoothly.,
,,,,C. Trainees can help with some shipments.,
,,,,D. Ms. Sadauskas is well suited for her job.,
156,Why was the form submitted?,,,A. An image is not displaying clearly.,
,,,,B. A projector needs to be set up.,
,,,,C. Audio is not functioning properly.,
,,,,D. A microphone needs to be repaired.,
157,What is Ms. Deckow planning to do next week?,,,A. Visit a client site,
,,,,B. Deliver a product,
,,,,C. Create an online video,
,,,,D. Give a presentation,
158,At what time will the executive board meeting begin?,,,A. 2:00,
,,,,B. 2:15,
,,,,C. 2:30,
,,,,D. 3:00,
159,In what area does Mr. Iverman most likely work?,,,A. Marketing,
,,,,B. Finance,
,,,,C. Advertising,
,,,,D. Executive management,
160,Why does Ms. Glatt want a colleague to attend a meeting?,,,A. To summarize a previous meeting,
,,,,B. To explain a promotional campaign,
,,,,C. To provide information about a budget,
,,,,D. To review recently approved documents,
161,"At 11:43 A.M., what does Ms. Glatt most likely mean when she writes, ''Sounds great”?",,,A. She accepts Mr. Seidal’s offer.,
,,,,B. She agrees that Mr. Iverman should attend the meeting at 3:00,
,,,,C. She is pleased with the proposed budget.,
,,,,D. She is happy that a project has been completed.,
162,What does Ms. McFarland mention about Mr. Wilkins?,,,A. He informed her of a job opening.,
,,,,B. He will require a professional reference.,
,,,,C. He would make a good business partner.,
,,,,D. He is considering resigning from his position.,
163,"The word “convey” in paragraph 1, line 5, is closest in meaning to",,,A. transport,
,,,,B. communicate,
,,,,C. recommend,
,,,,D. adapt,
164,Why does Ms. McFarland want to leave her current position?,,,A. She wants a higher salary for her efforts.,
,,,,B. She wants to work with a more experienced team.,
,,,,C. She wants more opportunities for advancement.,
,,,,D. She wants a role that inspires her more.,
165,Why does Ms. McFarland mention her travels?,,,A. To request a placement in a particular country.,
,,,,B. To discuss how she came to acquire strategic industry contacts.,
,,,,C. To explain how she became aware of certain world issues.,
